0,1
WRW51047.1,Uncaria rhynchophylla
WZH35015.1,Gardenia jasminoides
W8JWV8.1,Catharanthus roseus
XYA23379.1,Carapichea ipecacuanha
KAL3498419.1,Cinchona calisaya
CAI9093495.1,Oldenlandia corymbosa var. corymbosa
XP_027181307.1,Coffea eugenioides
XP_027081898.1,Coffea arabica
AKI87769.1,Gentiana crassa subsp. rigescens
AKI87770.1,Gentiana crassa subsp. rigescens
AKI87768.1,Gentiana crassa subsp. rigescens
KAL2544851.1,Forsythia ovata
KAL2544805.1,Forsythia ovata
CAN8787414.1,Galium boreale
KAL2517700.1,Abeliophyllum distichum
KAL2517695.1,Abeliophyllum distichum
KAI3468234.1,Paulownia fortunei
KAG8375564.1,Buddleja alternifolia
PIN02265.1,Handroanthus impetiginosus
CAK9140387.1,Ilex paraguariensis
CDP16164.1,Coffea canephora
CAA2997912.1,Olea europaea subsp. europaea
XP_020549820.1,Sesamum indicum
XP_027085518.1,Coffea arabica
XP_022853375.1,Olea europaea var. sylvestris
XP_022853376.1,Olea europaea var. sylvestris
CAI9755657.1,Fraxinus pennsylvanica
XP_051137809.1,Andrographis paniculata
CAA0810577.1,Striga hermonthica
KAK2966559.1,Escallonia rubra
KAK6140937.1,Rehmannia glutinosa
KAK6161839.1,Rehmannia glutinosa
KAL8537180.1,Phlomoides rotata
MIH5272317.1,Unknown
CAA2997913.1,Olea europaea subsp. europaea
ALG62779.1,Olea europaea
KAL8537182.1,Phlomoides rotata
WNE31664.1,Teucrium marum
AEQ04839.1,Olea europaea
MIM5528194.1,Unknown
KAM7477308.1,Lonicera macranthoides
GFP80254.1,Phtheirospermum japonicum
CAQ4158777.1,Unknown
KAM7480716.1,Lonicera macranthoides
KAN5414928.1,Castilleja lemmonii
KAN8724247.1,Castilleja parviflora
KAN3212043.1,Utricularia aurea
MIM5538145.1,Unknown
KAL3650824.1,Castilleja foliolosa
CAN5992090.1,Veronica longifolia
XP_011081820.1,Sesamum indicum
KAK4490927.1,Penstemon davidsonii
A0A2S1XB67.1,Catharanthus roseus
KAI5648027.1,Catharanthus roseus
A0A5B8XB28.1,Tabernanthe iboga
A0A5B8X7E6.1,Tabernanthe iboga
AYE56101.1,Vinca minor
KAI5648026.1,Catharanthus roseus
AYE56102.1,Tabernaemontana elegans
AYE56103.1,Amsonia hubrichtii
A0A5B8X6A1.1,Tabernanthe iboga
XHA77556.1,Ochrosia elliptica
XHA77553.1,Rauvolfia serpentina
XHA77554.1,Rauvolfia tetraphylla
XHA77559.1,Gelsemium sempervirens
CDP15693.1,Coffea canephora
XHA77563.1,Cephalanthus occidentalis
XP_027073200.2,Coffea arabica
XP_027179532.1,Coffea eugenioides
XP_027078119.2,Coffea arabica
KAI5669986.1,Catharanthus roseus
XP_027074111.2,Coffea arabica
XP_057466222.1,Actinidia eriantha
AKF02526.1,Catharanthus roseus
CDP15695.1,Coffea canephora
XP_027179542.1,Coffea eugenioides
XUR19206.1,Mitragyna speciosa
XHA77562.1,Mitragyna speciosa
XHA77558.1,Gelsemium sempervirens
XHA77561.1,Mitragyna parvifolia
XHA77564.1,Uncaria rhynchophylla
XUR19205.1,Mitragyna speciosa
CDP12587.1,Coffea canephora
XP_027183963.1,Coffea eugenioides
XP_027086119.2,Coffea arabica
KAL3510804.1,Cinchona calisaya
XP_027088090.1,Coffea arabica
XP_027088137.1,Coffea arabica
XP_027183964.1,Coffea eugenioides
KAF3450235.1,Rhamnella rubrinervis
KAL3527636.1,Cinchona calisaya
XP_027086475.1,Coffea arabica
XHA77560.1,Hamelia patens
XHA77557.1,Vinca minor
CDP12588.1,Coffea canephora
XP_062162306.1,Alnus glutinosa
KAJ6950886.1,Populus alba x Populus x berolinensis
KAG6790829.1,Populus tomentosa
KAH7836386.1,Vaccinium darrowii
XP_034897447.1,Populus alba
CAI9107376.1,Oldenlandia corymbosa var. corymbosa
XHA77565.1,Uncaria rhynchophylla
A0A2P1GIW2.1,Catharanthus roseus
KAI5664999.1,Catharanthus roseus
WRU92876.1,Catharanthus roseus
6RT8_A,Catharanthus roseus
WRU92877.1,Catharanthus roseus
KAI5675335.1,Catharanthus roseus
A0A2P1GIY2.1,Catharanthus roseus
KAI5675338.1,Catharanthus roseus
WRU92878.1,Catharanthus roseus
A0A2P1GIW3.1,Catharanthus roseus
6RS4_A,Catharanthus roseus
A0A5B8X6S2.1,Tabernanthe iboga
AYE56105.1,Tabernaemontana elegans
WRU92890.1,Rhazya stricta
AYE56104.1,Tabernaemontana elegans
WRU92893.1,Tabernaemontana divaricata
AYE56107.1,Amsonia hubrichtii
WRU92884.1,Melodinus tenuicaudatus
WRU92868.1,Amsonia hubrichtii
A0A5B8X6B5.1,Tabernanthe iboga
6RJ8_A,Tabernanthe iboga
AYE56108.1,Vinca minor
A0A2P1GIY1.1,Catharanthus roseus
WRU92894.1,Tabernaemontana divaricata
WRU92896.1,Tabernaemontana elegans
WRU92885.1,Melodinus tenuicaudatus
WRU92895.1,Tabernaemontana divaricata
WRU92897.1,Tabernaemontana elegans
WRU92902.1,Tabernanthe iboga
WRU92886.1,Melodinus tenuicaudatus
WRU92869.1,Amsonia hubrichtii
WRU92892.1,Rauvolfia tetraphylla
WRU92898.1,Tabernaemontana elegans
AYE56106.1,Tabernaemontana elegans
WRU92891.1,Rhazya stricta
WRU92903.1,Tabernanthe iboga
KAI5675683.1,Catharanthus roseus
WRU92899.1,Tabernaemontana elegans
WRU92908.1,Vinca minor
WRU92904.1,Tabernanthe iboga
XP_027164246.1,Coffea eugenioides
XP_027116251.1,Coffea arabica
WRU92870.1,Amsonia hubrichtii
WRU92882.1,Mitragyna speciosa
XP_027121267.2,Coffea arabica
WRU92871.1,Amsonia hubrichtii
WRU92887.1,Melodinus tenuicaudatus
WRU92888.1,Melodinus tenuicaudatus
KAJ7980080.1,Quillaja saponaria
CAI9098792.1,Oldenlandia corymbosa var. corymbosa
O04847.2,Catharanthus roseus
AAC49826.1,Catharanthus roseus
AAC49827.1,Catharanthus roseus
KAI5649486.1,Catharanthus roseus
KAI5649492.1,Catharanthus roseus
KAI5675101.1,Catharanthus roseus
ABV25958.1,Catharanthus roseus
KAM7462967.1,Lonicera macranthoides
XP_059632385.1,Cornus florida
KAA8548785.1,Nyssa sinensis
QFG71859.1,Lonicera macranthoides
XP_022867532.1,Olea europaea var. sylvestris
QFG71860.1,Lonicera macranthoides
KAM7462962.1,Lonicera macranthoides
XP_058211941.1,Rhododendron vialii
KAM7485204.1,Lonicera macranthoides
XP_058211933.1,Rhododendron vialii
KAL2530790.1,Forsythia ovata
KAH7845008.1,Vaccinium darrowii
KAH7844688.1,Vaccinium darrowii
KAI8561018.1,Rhododendron molle
XP_082731660.1,Camellia sinensis
XP_058211935.1,Rhododendron vialii
XP_007035062.2,Theobroma cacao
KAL2530328.1,Forsythia ovata
KAH7844820.1,Vaccinium darrowii
XP_002284663.1,Vitis vinifera
CAI9118221.1,Oldenlandia corymbosa var. corymbosa
XP_021290150.1,Herrania umbratica
KAL3507675.1,Cinchona calisaya
XP_052173967.1,Diospyros lotus
KAL6343388.1,Vitis piasezkii
KAH7842218.1,Vaccinium darrowii
CAN66006.1,Vitis vinifera
XP_059275399.1,Lycium ferocissimum
XP_059632379.1,Cornus florida
KAL5542205.1,Ulmus minor
XP_034686198.1,Vitis riparia
KAG5554418.1,Rhododendron griersonianum
XP_023904767.1,Quercus suber
EOY05988.1,Theobroma cacao
CAN67227.1,Vitis vinifera
XP_030974529.1,Quercus lobata
KAL6343391.1,Vitis piasezkii
XP_044500648.1,Mangifera indica
XP_034686200.1,Vitis riparia
KAL2530329.1,Forsythia ovata
XP_059632383.1,Cornus florida
GLU08138.1,Rubroshorea leprosula
XP_027166932.1,Coffea eugenioides
Q9ZTK5.1,Catharanthus roseus
KAI5674952.1,Catharanthus roseus
CEO43942.1,Catharanthus roseus
CEO43943.1,Catharanthus roseus
Q8GZU0.1,Catharanthus roseus
A0A2K8FQU5.1,Catharanthus roseus
A0A9E7S5E3.1,Alstonia scholaris
KAI5669707.1,Catharanthus roseus
KAI5674944.1,Catharanthus roseus
KAI5674932.1,Catharanthus roseus
KAI5674947.1,Catharanthus roseus
KAI5674951.1,Catharanthus roseus
KAI5674949.1,Catharanthus roseus
KAI5674945.1,Catharanthus roseus
KAI5674955.1,Catharanthus roseus
KAI5674933.1,Catharanthus roseus
KAI5669441.1,Catharanthus roseus
YCO90880.1,Cinchona pubescens
KAL3537463.1,Cinchona calisaya
P0DO84.1,Strychnos nux-vomica
P0DXG0.1,Strychnos sp.
KAM3362758.1,Capsicum galapagoense
NP_001311698.1,Capsicum annuum
AAV66311.1,Capsicum annuum
PHT56199.1,Capsicum baccatum
Q58VT1.1,Capsicum frutescens
AAV66310.1,Capsicum annuum
QCT85208.1,Capsicum annuum
KAM3285523.1,Capsicum chacoense
AAV66309.1,Capsicum chinense
KAF3637602.1,Capsicum annuum
KAM3362757.1,Capsicum galapagoense
A0A2G3D6U1.1,Capsicum chinense
PHU26685.1,Capsicum chinense
XP_016467639.1,Nicotiana tabacum
XP_070025052.1,Nicotiana sylvestris
XP_070025047.1,Nicotiana sylvestris
KAF3623437.1,Capsicum annuum
ATG80133.1,Atropa belladonna
XP_016560262.2,Capsicum annuum
XP_059314868.1,Lycium ferocissimum
KAM3285522.1,Capsicum chacoense
PHT26523.1,Capsicum baccatum
KAK4278478.1,Acacia crassicarpa
XP_019229743.1,Nicotiana attenuata
XP_027101735.1,Coffea arabica
XP_049358061.1,Solanum verrucosum
XP_050132963.1,Malus sylvestris
KAB2624869.1,Pyrus ussuriensis x Pyrus communis
XP_050132964.1,Malus sylvestris
A0A1B1FHP3.1,Catharanthus roseus
A0A5B8X8Z0.1,Tabernanthe iboga
8B1V_A,Tabernanthe iboga
A0A5B8XAH0.1,Tabernanthe iboga
ANQ45232.1,Catharanthus roseus
KAI5667523.1,Catharanthus roseus
WKU61918.1,Rauvolfia serpentina
YFZ31637.1,Strychnos spinosa
KAI5667519.1,Catharanthus roseus
AYE56100.1,Catharanthus roseus
WRI02172.1,Rauvolfia tetraphylla
KAI5672611.1,Catharanthus roseus
KAI5672600.1,Catharanthus roseus
A0A0U3S9Q3.1,Rauvolfia serpentina
ANQ45230.1,Catharanthus roseus
WRI02170.1,Rauvolfia tetraphylla
A0A0U4BHM2.1,Rauvolfia tetraphylla
XP_059645435.1,Cornus florida
KAM7529384.1,Lonicera macranthoides
KAM7523844.1,Lonicera macranthoides
AAW45741.1,Populus tremula x Populus tremuloides
XP_034932162.1,Populus alba
XP_002322822.2,Populus trichocarpa
1YQD_A,Populus tremuloides
CAK9156012.1,Ilex paraguariensis
KAJ6864807.1,Populus alba x Populus x berolinensis
KAL9336543.1,Populus x canadensis
KAL7254901.1,Camellia fascicularis
AAK58693.1,Populus tremuloides
XP_059645436.1,Cornus florida
XP_061955310.1,Populus nigra
KAM7523848.1,Lonicera macranthoides
KAM7523845.1,Lonicera macranthoides
KAN4993919.1,Tetrastigma harmandii
XP_002276703.1,Vitis vinifera
KAH8485330.1,Populus deltoides
KAN5098943.1,Tetrastigma voinierianum
KAM7519792.1,Lonicera macranthoides
XP_003635435.1,Vitis vinifera
KAL7230556.1,Camellia fascicularis
KAF8406120.1,Tetracentron sinense
KAK2996019.1,Escallonia rubra
KAJ9670298.1,Vitis rotundifolia
MHY6193471.1,Vitis vinifera
CBI33198.3,Vitis vinifera
KAL9373993.1,Populus x canadensis
KAN4993913.1,Tetrastigma harmandii
XP_034690891.1,Vitis riparia
KAK2996021.1,Escallonia rubra
XP_011004094.1,Populus euphratica
Q8VWZ7.1,Catharanthus roseus
AGX93053.1,Rauvolfia serpentina
XHC56413.1,Ochrosia elliptica
AGX93054.1,Tabernaemontana elegans
AGX93052.1,Amsonia hubrichtii
AGX93051.1,Cinchona calisaya
KAL3526733.1,Cinchona calisaya
ANW12210.1,Gentiana crassa subsp. rigescens
AIA22171.1,Gentiana crassa subsp. rigescens
ANW12211.1,Gentiana crassa subsp. rigescens
BAP90522.1,Ophiorrhiza pumila
ANW12209.1,Gentiana crassa subsp. rigescens
XP_027154553.1,Coffea eugenioides
AGX93055.1,Vinca minor
XP_027078185.2,Coffea arabica
XYA23378.1,Carapichea ipecacuanha
KAL2552084.1,Forsythia ovata
WIE96227.1,Mitragyna speciosa
KAL2552131.1,Forsythia ovata
CAA3016391.1,Olea europaea subsp. europaea
XP_022858342.1,Olea europaea var. sylvestris
D1MI46.1,Swertia mussotii
CAA2993979.1,Olea europaea subsp. europaea
KAL2531890.1,Abeliophyllum distichum
KAK2996568.1,Escallonia herrerae
ALJ75585.1,Swertia asarifolia
KAK2975527.1,Escallonia rubra
KAK2988315.1,Escallonia rubra
KAM7516576.1,Lonicera macranthoides
MIH5275427.1,Antirrhinum majus var. pseudomajus
AGX93050.1,Lonicera japonica
KAI3452069.1,Paulownia fortunei
AQW38831.1,Nothapodytes nimmoniana
BCK60971.1,Scoparia dulcis
KAK4393342.1,Sesamum angolense
CAN8810798.1,Galium boreale
CAN8824567.1,Galium boreale
PIN03107.1,Handroanthus impetiginosus
XP_011099226.1,Sesamum indicum
KAL3525730.1,Cinchona calisaya
KAK6128915.1,Rehmannia glutinosa
CAN8810807.1,Galium boreale
KAL2531889.1,Abeliophyllum distichum
MIM5526562.1,Unknown
KAN3215018.1,Utricularia aurea
KAN3226489.1,Utricularia aurea
CAN8816309.1,Galium boreale
QOL71525.1,Valeriana jatamansi
XP_073057880.1,Primulina eburnea
XP_027153936.1,Coffea eugenioides
AFD64744.1,Catharanthus roseus
A0A7G5KLV3.1,Cananga odorata
KAL3509620.1,Cinchona calisaya
XYA23377.1,Carapichea ipecacuanha
XDF18249.1,Gelsemium elegans
WRW51042.1,Uncaria rhynchophylla
XP_071904867.1,Coffea arabica
CDP20227.1,Coffea canephora
NP_001413592.1,Coffea arabica
XP_027169969.1,Coffea eugenioides
QCT83300.1,Gardenia jasminoides
XP_027169926.1,Coffea eugenioides
XP_027063694.1,Coffea arabica
CCM43930.1,Coffea arabica
CAN8776270.1,Galium boreale
CAI9090338.1,Oldenlandia corymbosa var. corymbosa
CAN8799246.1,Galium boreale
R4YVJ8.2,Coffea arabica
CAN8793677.1,Galium boreale
AJT35508.1,Gentiana crassa subsp. rigescens
QKS73430.1,Swertia mussotii
CAN8782789.1,Galium boreale
WIE96226.1,Mitragyna speciosa
CAK9158995.1,Ilex paraguariensis
KAG8388794.1,Buddleja alternifolia
KAM7498239.1,Lonicera macranthoides
CAI9090340.1,Oldenlandia corymbosa var. corymbosa
KAI3450216.1,Paulownia fortunei
KAM7495175.1,Lonicera macranthoides
KAL3829007.1,Penstemon smallii
KAK2987973.1,Escallonia rubra
KAK4483045.1,Penstemon davidsonii
KAK4407628.1,Sesamum angolense
KAM7492313.1,Lonicera macranthoides
KAK6141808.1,Rehmannia glutinosa
QJD13722.1,Rehmannia glutinosa
XP_011080637.1,Sesamum indicum
KAK6163875.1,Rehmannia glutinosa
KAK3010328.1,Escallonia herrerae
MIH5295501.1,Antirrhinum majus var. pseudomajus
KAL2493940.1,Forsythia ovata
CDP20228.1,Coffea canephora
XP_022870562.1,Olea europaea var. sylvestris
CAA3023166.1,Olea europaea subsp. europaea
KAK2965668.1,Escallonia rubra
KAL3829006.1,Penstemon smallii
KAK2987975.1,Escallonia rubra
AFI47926.1,Olea europaea
CAN6010411.1,Veronica longifolia
AGB05612.1,Valeriana officinalis
I1TEM0.1,Catharanthus roseus
XLS40686.1,Voacanga thouarsii
XLS40693.1,Tabernaemontana elegans
YBV67929.1,Tabernanthe iboga
AIR93639.1,Amsonia hubrichtii
XLS40690.1,Rhazya stricta
AIR93638.1,Rauvolfia serpentina
AIR93636.1,Tabernaemontana elegans
AIR93637.1,Vinca minor
XLS40679.1,Rauvolfia tetraphylla
A0A9E7S4M4.1,Alstonia scholaris
XLS40684.1,Alstonia scholaris
XLS40687.1,Voacanga thouarsii
XUJ55400.1,Amsonia tabernaemontana
WRI02174.1,Alstonia scholaris
A0A9E7S4M3.1,Alstonia scholaris
XLS40677.1,Rauvolfia tetraphylla
XLS40673.1,Vinca minor
XUJ55399.1,Vinca minor
KAI5673144.1,Catharanthus roseus
XLS40678.1,Rauvolfia tetraphylla
XLS40688.1,Voacanga thouarsii
XLS40695.1,Tabernaemontana elegans
XLS40696.1,Tabernaemontana elegans
YBV67933.1,Tabernanthe iboga
XLS40697.1,Tabernaemontana elegans
P0DXJ2.1,Rauvolfia serpentina
KAI5675102.1,Catharanthus roseus
XLS40675.1,Vinca minor
XLS40681.1,Rauvolfia tetraphylla
XLS40680.1,Rauvolfia tetraphylla
P0DO13.1,Rauvolfia serpentina
W8JDE2.1,Catharanthus roseus
CAC27827.1,Catharanthus roseus
KAI5673596.1,Catharanthus roseus
P0DO14.1,Gelsemium sempervirens
A0A9E7LUJ4.1,Alstonia scholaris
XLS40698.1,Tabernaemontana elegans
XLS40683.1,Rauvolfia tetraphylla
XLS40676.1,Vinca minor
XLS40689.1,Voacanga thouarsii
XLS40692.1,Rhazya stricta
WRI02175.1,Alstonia scholaris
P0DO79.1,Strychnos nux-vomica
P0DO88.1,Strychnos sp.
XLS40682.1,Rauvolfia tetraphylla
CAI9094694.1,Oldenlandia corymbosa var. corymbosa
XLS40691.1,Rhazya stricta
QXN66187.1,Catharanthus roseus
KAI5665036.1,Catharanthus roseus
W8JWW7.1,Catharanthus roseus
8A3N_A,Catharanthus roseus
A0A9E7LUR3.1,Alstonia scholaris
WPM01483.1,Rauvolfia tetraphylla
KAI5648032.1,Catharanthus roseus
W8JCF0.1,Catharanthus roseus
YBV67928.1,Tabernanthe iboga
P0DXJ1.1,Rauvolfia serpentina
YFZ31641.1,Strychnos spinosa
YFZ31640.1,Gelsemium sempervirens
WJM00679.1,Mitragyna speciosa
KAI3462151.1,Paulownia fortunei
XP_059624102.1,Cornus florida
XP_059624099.1,Cornus florida
CAI9758177.1,Fraxinus pennsylvanica
KAG8383641.1,Buddleja alternifolia
XP_059624104.1,Cornus florida
MIH5288923.1,Antirrhinum majus var. pseudomajus
KAI3464775.1,Paulownia fortunei
CAA2997492.1,Olea europaea subsp. europaea
VFQ99669.1,Cuscuta campestris
XP_059624110.1,Cornus florida
VFQ88114.1,Cuscuta campestris
CAA2972799.1,Olea europaea subsp. europaea
CAA2997493.1,Olea europaea subsp. europaea
CAN8757688.1,Galium boreale
AHK06497.1,Pogostemon cablin
XP_022851765.1,Olea europaea var. sylvestris
XP_034690888.1,Vitis riparia
CAA2972800.1,Olea europaea subsp. europaea
WPM01484.1,Rauvolfia tetraphylla
CAA2972803.1,Olea europaea subsp. europaea
KAI3451270.1,Paulownia fortunei
KAN3213867.1,Utricularia aurea
CAA2935068.1,Olea europaea subsp. europaea
XP_059594570.1,Vitis vinifera
WKU61909.1,Mitragyna speciosa
WNF20696.1,Mitragyna speciosa
KAA8531460.1,Nyssa sinensis
CAN8748557.1,Galium boreale
CAA2972805.1,Olea europaea subsp. europaea
A0A0U4AHM6.1,Rauvolfia serpentina
KAL2521717.1,Forsythia ovata
KAL3527468.1,Cinchona calisaya
XP_011097456.1,Sesamum indicum
KAL3527267.1,Cinchona calisaya
KAA8546675.1,Nyssa sinensis
AAQ20892.1,Camptotheca acuminata
W8JIS5.1,Catharanthus roseus
AHX24370.1,Catharanthus roseus
AHX24367.1,Rauvolfia serpentina
XHC56417.1,Ochrosia elliptica
AHX24366.1,Amsonia hubrichtii
AHX24369.1,Vinca minor
AHX24368.1,Tabernaemontana elegans
AHX24365.1,Cinchona calisaya
CAI9097843.1,Oldenlandia corymbosa var. corymbosa
WIE96230.1,Mitragyna speciosa
UQH56964.1,Uncaria rhynchophylla
CAN8752212.1,Galium boreale
AKI87772.1,Gentiana crassa subsp. rigescens
AKJ26120.1,Gentiana crassa subsp. rigescens
XP_071908387.1,Coffea arabica
XP_022866331.1,Olea europaea var. sylvestris
CAA2996947.1,Olea europaea subsp. europaea
KAL2554414.1,Forsythia ovata
KAL2554303.1,Forsythia ovata
ASY08116.1,Nothapodytes nimmoniana
KAK3008065.1,Escallonia herrerae
KAK2997858.1,Escallonia herrerae
KAK2987907.1,Escallonia rubra
KAK2996243.1,Escallonia herrerae
KAL2533581.1,Abeliophyllum distichum
XP_027175083.1,Coffea eugenioides
KAL2533597.1,Abeliophyllum distichum
XP_027069257.2,Coffea arabica
CAA2959810.1,Olea europaea subsp. europaea
CAA3007723.1,Olea europaea subsp. europaea
XP_022899380.1,Olea europaea var. sylvestris
KAK4396455.1,Sesamum angolense
KAG8376656.1,Buddleja alternifolia
KAA8516657.1,Nyssa sinensis
KAM7464286.1,Lonicera macranthoides
XP_011094434.1,Sesamum indicum
XP_058204108.1,Rhododendron vialii
KAG5556690.1,Rhododendron griersonianum
KAI3473941.1,Paulownia fortunei
XP_059669433.1,Cornus florida
KAM7531646.1,Lonicera macranthoides
KAM7468304.1,Lonicera macranthoides
XP_058204109.1,Rhododendron vialii
KAK6147119.1,Rehmannia glutinosa
ALV83446.1,Olea europaea subsp. europaea
KAK4481147.1,Penstemon davidsonii
KAM7526118.1,Lonicera macranthoides
AHX24364.1,Lonicera japonica
CAN4758394.1,Veronica longifolia
XP_051130969.1,Andrographis paniculata
K7WDL7.1,Catharanthus roseus
AIW09147.1,Catharanthus roseus
AMB61018.1,Lonicera japonica
AHA82033.1,Catharanthus roseus
AOA52204.1,Catharanthus roseus
AOA52208.1,Catharanthus roseus
AOA52207.1,Catharanthus roseus
AOA52209.1,Catharanthus roseus
AOA52206.1,Catharanthus roseus
AOA52210.1,Catharanthus roseus
AOA52212.1,Catharanthus roseus
AOA52205.1,Catharanthus roseus
AOA52211.1,Catharanthus roseus
AOA52213.1,Catharanthus roseus
5EMH_A,Catharanthus roseus
5DCU_A,Catharanthus roseus
5DF1_A,Catharanthus roseus
5DCY_A,Catharanthus roseus
5COA_A,Catharanthus roseus
5DBF_A,Catharanthus roseus
XHC56416.1,Ochrosia elliptica
XDF18252.1,Gelsemium elegans
KAL3505075.1,Cinchona calisaya
