qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qcovs,organism
ABR20103.1,KAG6737942.1,55.742,357,150,5,2,355,7,358,2.01e-136,400.0,71.71,Populus tomentosa
ABR20103.1,KAH7844778.1,54.902,357,153,5,2,355,6,357,2.1199999999999998e-136,400.0,73.11,Vaccinium darrowii
ABR20103.1,KAL7185435.1,59.053,359,138,5,1,355,5,358,3.14e-136,399.0,72.7,Camellia fascicularis
sp|U5NH37|7DLGT_CATRO,XHC56418.1,92.324,482,37,0,1,482,1,482,0.0,919.0,97.51,Ochrosia elliptica
sp|U5NH37|7DLGT_CATRO,AGX93068.1,92.116,482,38,0,1,482,1,482,0.0,917.0,97.3,Amsonia hubrichtii
sp|U5NH37|7DLGT_CATRO,AGX93069.1,92.531,482,36,0,1,482,1,482,0.0,912.0,96.89,Rauvolfia serpentina
sp|U5NH37|7DLGT_CATRO,AGX93071.1,88.382,482,56,0,1,482,1,482,0.0,912.0,95.64,Vinca minor
sp|U5NH37|7DLGT_CATRO,WIE96231.1,87.552,482,60,0,1,482,1,482,0.0,899.0,94.81,Mitragyna speciosa
sp|U5NH37|7DLGT_CATRO,AGX93070.1,90.456,482,46,0,1,482,1,482,0.0,896.0,95.64,Tabernaemontana elegans
sp|U5NH37|7DLGT_CATRO,XYA23381.1,84.823,481,73,0,1,481,1,481,0.0,875.0,93.14,Carapichea ipecacuanha
sp|U5NH37|7DLGT_CATRO,AGX93067.1,83.958,480,77,0,3,482,4,483,0.0,872.0,94.17,Cinchona calisaya
sp|U5NH37|7DLGT_CATRO,KAL3521160.1,83.958,480,77,0,3,482,4,483,0.0,872.0,94.17,Cinchona calisaya
sp|U5NH37|7DLGT_CATRO,CAI9091610.1,84.2,481,76,0,1,481,3,483,0.0,871.0,92.93,Oldenlandia corymbosa var. corymbosa
sp|U5NH37|7DLGT_CATRO,KAL2548758.1,82.573,482,84,0,1,482,1,482,0.0,852.0,92.12,Forsythia ovata
sp|U5NH37|7DLGT_CATRO,KAL2548807.1,82.573,482,84,0,1,482,43,524,0.0,851.0,92.32,Forsythia ovata
sp|U5NH37|7DLGT_CATRO,CAN8727478.1,81.913,481,85,1,1,481,1,479,0.0,847.0,91.89,Galium boreale
sp|U5NH37|7DLGT_CATRO,CAN8703582.1,81.705,481,86,1,1,481,1,479,0.0,846.0,91.89,Galium boreale
sp|U5NH37|7DLGT_CATRO,CAN8738110.1,81.705,481,86,1,1,481,1,479,0.0,846.0,91.89,Galium boreale
sp|U5NH37|7DLGT_CATRO,AKI87764.1,79.668,482,98,0,1,482,1,482,0.0,846.0,92.32,Gentiana crassa subsp. rigescens
sp|U5NH37|7DLGT_CATRO,KAK2975665.1,81.513,476,85,1,6,481,3,475,0.0,830.0,90.55,Escallonia rubra
sp|U5NH37|7DLGT_CATRO,KAK3031053.1,80.882,476,88,1,6,481,3,475,0.0,824.0,90.34,Escallonia herrerae
sp|U5NH37|7DLGT_CATRO,KAK3031054.1,80.973,473,87,1,9,481,6,475,0.0,820.0,90.49,Escallonia herrerae
sp|U5NH37|7DLGT_CATRO,KAL2548747.1,79.046,482,101,0,1,482,1,482,0.0,818.0,89.21,Forsythia ovata
sp|U5NH37|7DLGT_CATRO,XP_071934566.1,78.144,485,103,2,1,482,1,485,0.0,811.0,89.07,Coffea arabica
sp|U5NH37|7DLGT_CATRO,XP_027155763.1,77.938,485,104,2,1,482,1,485,0.0,810.0,88.87,Coffea eugenioides
sp|U5NH37|7DLGT_CATRO,AGX93066.1,75.665,489,112,1,1,482,1,489,0.0,809.0,89.57,Lonicera japonica
sp|U5NH37|7DLGT_CATRO,KAM7482486.1,75.82,488,112,1,1,482,1,488,0.0,809.0,89.75,Lonicera macranthoides
sp|U5NH37|7DLGT_CATRO,KAM7479166.1,75.82,488,112,1,1,482,1,488,0.0,808.0,89.75,Lonicera macranthoides
sp|U5NH37|7DLGT_CATRO,CAI9775661.1,77.755,481,106,1,1,480,1,481,0.0,806.0,89.4,Fraxinus pennsylvanica
sp|U5NH37|7DLGT_CATRO,ALV83447.1,77.339,481,109,0,1,481,5,485,0.0,804.0,88.57,Olea europaea subsp. europaea
sp|U5NH37|7DLGT_CATRO,KAL2525783.1,77.386,482,109,0,1,482,1,482,0.0,803.0,88.8,Abeliophyllum distichum
sp|U5NH37|7DLGT_CATRO,XP_022869718.1,76.398,483,113,1,1,482,1,483,0.0,802.0,89.65,Olea europaea var. sylvestris
sp|U5NH37|7DLGT_CATRO,XP_022855172.1,77.131,481,110,0,1,481,5,485,0.0,801.0,88.36,Olea europaea var. sylvestris
sp|U5NH37|7DLGT_CATRO,KAL2525782.1,77.178,482,110,0,1,482,1,482,0.0,799.0,87.97,Abeliophyllum distichum
sp|U5NH37|7DLGT_CATRO,XP_022855173.1,76.349,482,114,0,1,482,1,482,0.0,799.0,88.59,Olea europaea var. sylvestris
sp|U5NH37|7DLGT_CATRO,XP_027109740.2,76.907,485,109,2,1,482,4,488,0.0,798.0,88.25,Coffea arabica
sp|U5NH37|7DLGT_CATRO,CAA3017168.1,75.934,482,116,0,1,482,1,482,0.0,797.0,88.59,Olea europaea subsp. europaea
sp|U5NH37|7DLGT_CATRO,KAH7839427.1,75.468,481,115,1,4,481,5,485,0.0,795.0,88.77,Vaccinium darrowii
sp|U5NH37|7DLGT_CATRO,KAM7482485.1,73.77,488,122,1,1,482,1,488,0.0,791.0,88.32,Lonicera macranthoides
sp|U5NH37|7DLGT_CATRO,KAM7479165.1,73.566,488,123,1,1,482,1,488,0.0,790.0,88.32,Lonicera macranthoides
sp|U5NH37|7DLGT_CATRO,CAA3011328.1,75.776,483,116,1,1,482,1,483,0.0,789.0,88.61,Olea europaea subsp. europaea
sp|U5NH37|7DLGT_CATRO,KAA8539652.1,76.86,484,110,1,1,482,180,663,0.0,789.0,88.22,Nyssa sinensis
sp|U5NH37|7DLGT_CATRO,XP_022855174.1,75.311,482,119,0,1,482,1,482,0.0,787.0,87.76,Olea europaea var. sylvestris
sp|U5NH37|7DLGT_CATRO,KAL3523920.1,75.569,483,116,2,1,481,1,483,0.0,786.0,87.78,Cinchona calisaya
sp|U5NH37|7DLGT_CATRO,CAA3022364.1,75.519,482,118,0,1,482,1,482,0.0,783.0,87.34,Olea europaea subsp. europaea
sp|U5NH37|7DLGT_CATRO,CAI9772955.1,74.896,482,121,0,1,482,1,482,0.0,782.0,86.31,Fraxinus pennsylvanica
sp|U5NH37|7DLGT_CATRO,KAL3523921.1,75.0,484,119,2,1,482,1,484,0.0,782.0,86.36,Cinchona calisaya
sp|U5NH37|7DLGT_CATRO,CAI9772953.1,75.519,482,118,0,1,482,1,482,0.0,782.0,86.72,Fraxinus pennsylvanica
sp|U5NH37|7DLGT_CATRO,CAA3022363.1,75.726,482,117,0,1,482,5,486,0.0,781.0,86.72,Olea europaea subsp. europaea
sp|U5NH37|7DLGT_CATRO,XP_058181841.1,74.691,486,119,2,1,482,1,486,0.0,781.0,87.04,Rhododendron vialii
sp|U5NE19|7DLH_CATRO,AGX93059.1,92.322,521,39,1,1,521,1,520,0.0,1002.0,96.16,Rauvolfia serpentina
sp|U5NE19|7DLH_CATRO,XHC56419.1,91.171,521,44,1,1,521,1,519,0.0,999.0,96.55,Ochrosia elliptica
sp|U5NE19|7DLH_CATRO,AGX93058.1,90.541,518,47,1,4,521,3,518,0.0,992.0,96.33,Amsonia hubrichtii
sp|U5NE19|7DLH_CATRO,AGX93060.1,89.827,521,51,1,1,521,1,519,0.0,989.0,95.97,Tabernaemontana elegans
sp|U5NE19|7DLH_CATRO,AGX93061.1,90.038,522,49,2,1,521,1,520,0.0,982.0,95.59,Vinca minor
sp|U5NE19|7DLH_CATRO,AGX93057.1,88.1,521,60,1,1,521,1,519,0.0,976.0,95.01,Cinchona calisaya
sp|U5NE19|7DLH_CATRO,KAL3508818.1,87.908,521,61,1,1,521,1,519,0.0,974.0,95.01,Cinchona calisaya
sp|U5NE19|7DLH_CATRO,WIE96232.1,86.756,521,67,1,1,521,5,523,0.0,968.0,95.01,Mitragyna speciosa
sp|U5NE19|7DLH_CATRO,QWX38540.1,84.069,521,80,2,1,521,4,521,0.0,929.0,91.75,Ophiorrhiza pumila
sp|U5NE19|7DLH_CATRO,XYA23382.1,82.342,521,89,2,1,521,1,518,0.0,908.0,90.98,Carapichea ipecacuanha
sp|U5NE19|7DLH_CATRO,CAI9088915.1,80.077,517,101,1,5,521,6,520,0.0,885.0,90.33,Oldenlandia corymbosa var. corymbosa
sp|U5NE19|7DLH_CATRO,QNS30009.1,79.271,521,106,1,1,521,1,519,0.0,884.0,89.83,Nothapodytes nimmoniana
sp|U5NE19|7DLH_CATRO,QBM10924.1,79.764,509,98,2,13,521,14,517,0.0,873.0,90.18,Swertia mussotii
sp|U5NE19|7DLH_CATRO,BBI55003.1,79.175,509,101,2,13,521,14,517,0.0,865.0,89.78,Swertia japonica
sp|U5NE19|7DLH_CATRO,AKI87771.1,76.967,521,112,2,1,521,1,513,0.0,856.0,88.48,Gentiana crassa subsp. rigescens
sp|U5NE19|7DLH_CATRO,ALJ10970.1,76.967,521,112,2,1,521,1,513,0.0,855.0,88.29,Gentiana crassa subsp. rigescens
sp|U5NE19|7DLH_CATRO,AKI87763.1,76.967,521,112,2,1,521,1,513,0.0,855.0,88.29,Gentiana crassa subsp. rigescens
sp|U5NE19|7DLH_CATRO,CAN8777553.1,76.392,521,120,2,1,521,1,518,0.0,852.0,87.91,Galium boreale
sp|U5NE19|7DLH_CATRO,CAN8800300.1,76.583,521,119,2,1,521,1,518,0.0,851.0,87.72,Galium boreale
sp|U5NE19|7DLH_CATRO,CAN8781707.1,76.392,521,120,2,1,521,1,518,0.0,850.0,87.72,Galium boreale
sp|U5NE19|7DLH_CATRO,AGX93056.1,76.367,512,116,4,11,521,12,519,0.0,830.0,89.06,Lonicera japonica
sp|U5NE19|7DLH_CATRO,KAM7498549.1,76.367,512,116,4,11,521,15,522,0.0,829.0,88.87,Lonicera macranthoides
sp|U5NE19|7DLH_CATRO,KAM7503867.1,76.367,512,116,4,11,521,15,522,0.0,828.0,88.87,Lonicera macranthoides
sp|U5NE19|7DLH_CATRO,KAK3009358.1,72.937,521,138,2,1,521,7,524,0.0,798.0,84.84,Escallonia herrerae
sp|U5NE19|7DLH_CATRO,KAK3011388.1,72.553,521,140,2,1,521,1,518,0.0,795.0,84.45,Escallonia herrerae
sp|U5NE19|7DLH_CATRO,KAK2992117.1,72.361,521,141,2,1,521,7,524,0.0,793.0,84.64,Escallonia rubra
sp|U5NE19|7DLH_CATRO,AIL49061.1,73.704,521,131,4,1,520,5,520,0.0,788.0,83.49,Nothapodytes nimmoniana
sp|U5NE19|7DLH_CATRO,KAM7492486.1,68.582,522,161,3,1,521,3,522,0.0,770.0,84.1,Lonicera macranthoides
sp|U5NE19|7DLH_CATRO,KAK2992116.1,68.714,521,160,2,1,521,1,518,0.0,760.0,82.92,Escallonia rubra
sp|U5NE19|7DLH_CATRO,CAI9088913.1,67.625,522,164,3,1,521,3,520,0.0,757.0,81.61,Oldenlandia corymbosa var. corymbosa
sp|U5NE19|7DLH_CATRO,KAK3011389.1,68.834,523,156,3,1,521,1,518,0.0,752.0,81.84,Escallonia herrerae
sp|U5NE19|7DLH_CATRO,CAN8800302.1,66.092,522,172,3,1,521,3,520,0.0,744.0,81.42,Galium boreale
sp|U5NE19|7DLH_CATRO,XP_059650995.1,67.379,515,165,2,8,521,5,517,0.0,742.0,82.33,Cornus florida
sp|U5NE19|7DLH_CATRO,KAM7517455.1,67.113,523,168,4,1,521,3,523,0.0,741.0,82.22,Lonicera macranthoides
sp|U5NE19|7DLH_CATRO,XYA23390.1,65.891,516,173,2,7,521,10,523,0.0,741.0,82.36,Alangium salviifolium
sp|U5NE19|7DLH_CATRO,KAM7513623.1,67.113,523,168,4,1,521,3,523,0.0,741.0,82.22,Lonicera macranthoides
sp|U5NE19|7DLH_CATRO,CAN8781706.1,65.9,522,173,3,1,521,3,520,0.0,739.0,80.84,Galium boreale
sp|U5NE19|7DLH_CATRO,CAN8795004.1,65.517,522,175,3,1,521,3,520,0.0,735.0,80.84,Galium boreale
sp|U5NE19|7DLH_CATRO,CAN8777551.1,65.517,522,175,3,1,521,3,520,0.0,735.0,80.84,Galium boreale
sp|U5NE19|7DLH_CATRO,WMD26768.1,67.625,522,164,4,1,521,1,518,0.0,733.0,81.23,Camptotheca acuminata
sp|U5NE19|7DLH_CATRO,QOI02196.1,69.583,503,149,3,20,521,22,521,0.0,730.0,82.5,Camptotheca acuminata
sp|U5NE19|7DLH_CATRO,KAA8524065.1,68.199,522,162,3,1,521,3,521,0.0,729.0,81.42,Nyssa sinensis
sp|U5NE19|7DLH_CATRO,UNP59806.1,67.433,522,166,3,1,521,1,519,0.0,726.0,81.03,Camptotheca acuminata
sp|U5NE19|7DLH_CATRO,KAM7495357.1,68.182,506,158,2,16,521,19,521,0.0,721.0,84.19,Lonicera macranthoides
sp|U5NE19|7DLH_CATRO,KAM7492488.1,68.182,506,158,2,16,521,19,521,0.0,719.0,84.19,Lonicera macranthoides
sp|U5NE19|7DLH_CATRO,XP_027164185.1,64.479,518,180,2,4,521,5,518,0.0,719.0,81.85,Coffea eugenioides
sp|U5NE19|7DLH_CATRO,WZH35016.1,64.672,518,180,2,4,521,5,519,0.0,718.0,81.27,Gardenia jasminoides
sp|U5NE19|7DLH_CATRO,WRW51047.1,83.896,385,60,1,1,385,1,383,0.0,692.0,92.73,Uncaria rhynchophylla
sp|U5NE19|7DLH_CATRO,WZH35015.1,61.333,525,197,3,1,521,3,525,0.0,687.0,80.0,Gardenia jasminoides
sp|W8JWV8|8HGO_CATRO,XYA23379.1,87.302,378,45,1,1,378,1,375,0.0,676.0,93.39,Carapichea ipecacuanha
sp|W8JWV8|8HGO_CATRO,KAL3498419.1,85.714,378,51,1,1,378,1,375,0.0,674.0,93.39,Cinchona calisaya
sp|W8JWV8|8HGO_CATRO,CAI9093495.1,85.45,378,52,1,1,378,732,1106,0.0,673.0,91.8,Oldenlandia corymbosa var. corymbosa
sp|W8JWV8|8HGO_CATRO,XP_027181307.1,83.862,378,58,1,1,378,1,375,0.0,661.0,92.59,Coffea eugenioides
sp|W8JWV8|8HGO_CATRO,XP_027081898.1,83.862,378,58,1,1,378,1,375,0.0,661.0,92.59,Coffea arabica
sp|W8JWV8|8HGO_CATRO,AKI87769.1,84.392,378,57,1,1,378,1,376,0.0,658.0,91.27,Gentiana crassa subsp. rigescens
sp|W8JWV8|8HGO_CATRO,AKI87770.1,84.127,378,58,1,1,378,1,376,0.0,657.0,91.27,Gentiana crassa subsp. rigescens
sp|W8JWV8|8HGO_CATRO,AKI87768.1,83.862,378,59,1,1,378,1,376,0.0,652.0,90.74,Gentiana crassa subsp. rigescens
sp|W8JWV8|8HGO_CATRO,KAL2544851.1,81.746,378,66,1,1,378,1,375,0.0,649.0,91.53,Forsythia ovata
sp|W8JWV8|8HGO_CATRO,KAL2544805.1,81.481,378,67,1,1,378,1,375,0.0,647.0,91.53,Forsythia ovata
sp|W8JWV8|8HGO_CATRO,CAN8787414.1,82.804,378,62,1,1,378,1,375,0.0,645.0,89.95,Galium boreale
sp|W8JWV8|8HGO_CATRO,KAL2517700.1,82.162,370,66,0,9,378,6,375,0.0,645.0,92.16,Abeliophyllum distichum
sp|W8JWV8|8HGO_CATRO,KAL2517695.1,81.622,370,68,0,9,378,6,375,0.0,642.0,92.16,Abeliophyllum distichum
sp|W8JWV8|8HGO_CATRO,KAI3468234.1,80.533,375,73,0,4,378,2,376,0.0,637.0,91.2,Paulownia fortunei
sp|W8JWV8|8HGO_CATRO,KAG8375564.1,79.733,375,76,0,4,378,2,376,0.0,635.0,91.2,Buddleja alternifolia
sp|W8JWV8|8HGO_CATRO,PIN02265.1,79.467,375,77,0,4,378,2,376,0.0,635.0,91.47,Handroanthus impetiginosus
sp|W8JWV8|8HGO_CATRO,CAK9140387.1,80.159,378,72,1,1,378,1,375,0.0,634.0,91.01,Ilex paraguariensis
sp|W8JWV8|8HGO_CATRO,CDP16164.1,83.862,378,58,1,1,378,1,375,0.0,630.0,91.8,Coffea canephora
sp|W8JWV8|8HGO_CATRO,CAA2997912.1,78.571,378,78,1,1,378,21,395,0.0,627.0,89.42,Olea europaea subsp. europaea
sp|W8JWV8|8HGO_CATRO,XP_020549820.1,79.088,373,78,0,6,378,5,377,0.0,627.0,91.15,Sesamum indicum
sp|W8JWV8|8HGO_CATRO,XP_027085518.1,83.333,378,60,1,1,378,1,375,0.0,627.0,91.53,Coffea arabica
sp|W8JWV8|8HGO_CATRO,XP_022853375.1,78.307,378,79,1,1,378,21,395,0.0,626.0,89.15,Olea europaea var. sylvestris
sp|W8JWV8|8HGO_CATRO,XP_022853376.1,78.571,378,78,1,1,378,1,375,0.0,625.0,89.15,Olea europaea var. sylvestris
sp|W8JWV8|8HGO_CATRO,CAI9755657.1,79.412,374,77,0,5,378,2,375,0.0,625.0,89.57,Fraxinus pennsylvanica
sp|W8JWV8|8HGO_CATRO,XP_051137809.1,77.836,379,83,1,1,378,1,379,0.0,624.0,89.71,Andrographis paniculata
sp|W8JWV8|8HGO_CATRO,CAA0810577.1,78.4,375,81,0,4,378,2,376,0.0,623.0,89.87,Striga hermonthica
sp|W8JWV8|8HGO_CATRO,KAK2966559.1,79.357,373,76,1,7,378,4,376,0.0,623.0,90.35,Escallonia rubra
sp|W8JWV8|8HGO_CATRO,KAK6140937.1,78.4,375,81,0,4,378,2,376,0.0,623.0,90.13,Rehmannia glutinosa
sp|W8JWV8|8HGO_CATRO,KAK6161839.1,78.133,375,82,0,4,378,2,376,0.0,622.0,90.13,Rehmannia glutinosa
sp|W8JWV8|8HGO_CATRO,KAL8537180.1,78.133,375,82,0,4,378,2,376,0.0,622.0,89.6,Phlomoides rotata
sp|W8JWV8|8HGO_CATRO,MIH5272317.1,78.133,375,80,1,4,378,2,374,0.0,622.0,91.2,Unknown
sp|W8JWV8|8HGO_CATRO,CAA2997913.1,78.307,378,78,2,1,378,21,394,0.0,621.0,89.15,Olea europaea subsp. europaea
sp|W8JWV8|8HGO_CATRO,ALG62779.1,78.042,378,80,1,1,378,21,395,0.0,621.0,88.36,Olea europaea
sp|W8JWV8|8HGO_CATRO,KAL8537182.1,77.867,375,83,0,4,378,2,376,0.0,619.0,89.6,Phlomoides rotata
sp|W8JWV8|8HGO_CATRO,WNE31664.1,77.333,375,85,0,4,378,2,376,0.0,619.0,90.13,Teucrium marum
sp|W8JWV8|8HGO_CATRO,AEQ04839.1,77.778,378,81,1,1,378,1,375,0.0,619.0,88.1,Olea europaea
sp|W8JWV8|8HGO_CATRO,MIM5528194.1,77.867,375,83,0,4,378,2,376,0.0,619.0,89.6,Unknown
sp|W8JWV8|8HGO_CATRO,KAM7477308.1,79.265,381,73,3,1,378,1,378,0.0,619.0,88.71,Lonicera macranthoides
sp|W8JWV8|8HGO_CATRO,GFP80254.1,78.976,371,78,0,8,378,3,373,0.0,618.0,90.57,Phtheirospermum japonicum
sp|W8JWV8|8HGO_CATRO,CAQ4158777.1,77.807,374,82,1,6,378,4,377,0.0,618.0,90.64,Unknown
sp|W8JWV8|8HGO_CATRO,KAM7480716.1,79.003,381,74,3,1,378,1,378,0.0,616.0,88.45,Lonicera macranthoides
sp|W8JWV8|8HGO_CATRO,KAN5414928.1,77.333,375,85,0,4,378,3,377,0.0,615.0,89.07,Castilleja lemmonii
sp|W8JWV8|8HGO_CATRO,KAN8724247.1,77.867,375,83,0,4,378,2,376,0.0,615.0,89.07,Castilleja parviflora
sp|W8JWV8|8HGO_CATRO,KAN3212043.1,76.862,376,86,1,4,378,2,377,0.0,615.0,90.43,Utricularia aurea
sp|W8JWV8|8HGO_CATRO,MIM5538145.1,77.6,375,84,0,4,378,2,376,0.0,614.0,89.33,Unknown
sp|W8JWV8|8HGO_CATRO,KAL3650824.1,77.867,375,83,0,4,378,2,376,0.0,614.0,89.07,Castilleja foliolosa
sp|W8JWV8|8HGO_CATRO,CAN5992090.1,77.236,369,83,1,11,378,8,376,0.0,613.0,91.87,Veronica longifolia
sp|W8JWV8|8HGO_CATRO,XP_011081820.1,77.249,378,85,1,1,378,1,377,0.0,612.0,89.15,Sesamum indicum
sp|W8JWV8|8HGO_CATRO,KAK4490927.1,74.933,375,94,0,4,378,542,916,0.0,612.0,89.07,Penstemon davidsonii
sp|A0A2S1XB67|ASO_CATRO,A0A5B8XB28.1,72.83,530,143,1,1,529,1,530,0.0,804.0,84.91,Tabernanthe iboga
sp|A0A2S1XB67|ASO_CATRO,A0A5B8X7E6.1,74.656,509,127,2,22,528,21,529,0.0,752.0,85.27,Tabernanthe iboga
sp|A0A2S1XB67|ASO_CATRO,AYE56101.1,73.725,510,126,4,23,529,26,530,0.0,743.0,85.29,Vinca minor
sp|A0A2S1XB67|ASO_CATRO,AYE56102.1,69.171,519,159,1,12,529,13,531,0.0,723.0,82.66,Tabernaemontana elegans
sp|A0A2S1XB67|ASO_CATRO,AYE56103.1,67.176,524,171,1,1,523,1,524,0.0,712.0,81.49,Amsonia hubrichtii
sp|A0A2S1XB67|ASO_CATRO,A0A5B8X6A1.1,68.015,519,165,1,12,529,13,531,0.0,711.0,81.5,Tabernanthe iboga
sp|A0A2S1XB67|ASO_CATRO,XHA77556.1,61.431,503,189,4,26,525,28,528,0.0,615.0,78.33,Ochrosia elliptica
sp|A0A2S1XB67|ASO_CATRO,XHA77553.1,58.235,510,206,5,25,529,27,534,0.0,592.0,75.49,Rauvolfia serpentina
sp|A0A2S1XB67|ASO_CATRO,XHA77554.1,57.331,532,218,7,1,525,1,530,0.0,588.0,74.81,Rauvolfia tetraphylla
sp|A0A2S1XB67|ASO_CATRO,XHA77559.1,57.303,534,217,8,1,526,1,531,0.0,585.0,75.66,Gelsemium sempervirens
sp|A0A2S1XB67|ASO_CATRO,CDP15693.1,57.663,522,211,7,14,528,23,541,0.0,583.0,75.86,Coffea canephora
sp|A0A2S1XB67|ASO_CATRO,XHA77563.1,56.792,530,220,7,1,523,2,529,0.0,580.0,75.09,Cephalanthus occidentalis
sp|A0A2S1XB67|ASO_CATRO,XP_027073200.2,57.28,522,213,7,14,528,16,534,0.0,580.0,75.86,Coffea arabica
sp|A0A2S1XB67|ASO_CATRO,XP_027179532.1,57.803,519,211,6,14,526,16,532,0.0,580.0,75.72,Coffea eugenioides
sp|A0A2S1XB67|ASO_CATRO,XP_027078119.2,57.57,535,215,9,2,528,19,549,0.0,577.0,74.77,Coffea arabica
sp|A0A2S1XB67|ASO_CATRO,XP_027074111.2,57.196,535,217,9,2,528,19,549,0.0,573.0,74.58,Coffea arabica
sp|A0A2S1XB67|ASO_CATRO,XP_057466222.1,55.263,532,232,5,1,528,1,530,0.0,572.0,73.87,Actinidia eriantha
sp|A0A2S1XB67|ASO_CATRO,CDP15695.1,57.196,535,217,9,2,528,19,549,0.0,571.0,74.39,Coffea canephora
sp|A0A2S1XB67|ASO_CATRO,XP_027179542.1,57.196,535,217,9,2,528,19,549,0.0,571.0,74.39,Coffea eugenioides
sp|A0A2S1XB67|ASO_CATRO,XUR19206.1,54.887,532,227,8,1,523,2,529,0.0,567.0,73.87,Mitragyna speciosa
